munnom;regadm
Abercorn;Estrie (05)
Acton Vale;Montérégie (16)
Adstock;Chaudière-Appalaches (12)
Aguanish;Côte-Nord (09)
Akulivik;Nord-du-Québec (10)
Akwesasne;Montérégie (16)
Albanel;Saguenay--Lac-Saint-Jean (02)
Albertville;Bas-Saint-Laurent (01)
Alleyn-et-Cawood;Outaouais (07)
Alma;Saguenay--Lac-Saint-Jean (02)
Amherst;Laurentides (15)
Amos;Abitibi-Témiscamingue (08)
Amqui;Bas-Saint-Laurent (01)
Ange-Gardien;Montérégie (16)
Armagh;Chaudière-Appalaches (12)
Arundel;Laurentides (15)
Ascot Corner;Estrie (05)
Aston-Jonction;Centre-du-Québec (17)
Auclair;Bas-Saint-Laurent (01)
Audet;Estrie (05)
Aumond;Outaouais (07)
Aupaluk;Nord-du-Québec (10)
Austin;Estrie (05)
Authier;Abitibi-Témiscamingue (08)
Authier-Nord;Abitibi-Témiscamingue (08)
Ayer's Cliff;Estrie (05)
Baie-Atibenne;Lanaudière (14)
Baie-Comeau;Côte-Nord (09)
Baie-de-la-Bouteille;Lanaudière (14)
Baie-des-Chaloupes;Laurentides (15)
Baie-des-Sables;Bas-Saint-Laurent (01)
Baie-d'Hudson;Nord-du-Québec (10)
Baie-du-Febvre;Centre-du-Québec (17)
Baie-D'Urfé;Montréal (06)
Baie-Johan-Beetz;Côte-Nord (09)
Baie-Obaoca;Lanaudière (14)
Baie-Sainte-Catherine;Capitale-Nationale (03)
Baie-Saint-Paul;Capitale-Nationale (03)
Baie-Trinité;Côte-Nord (09)
Barkmere;Laurentides (15)
Barnston-Ouest;Estrie (05)
Barraute;Abitibi-Témiscamingue (08)
Batiscan;Mauricie (04)
Beaconsfield;Montréal (06)
Béarn;Abitibi-Témiscamingue (08)
Beauceville;Chaudière-Appalaches (12)
Beauharnois;Montérégie (16)
Beaulac-Garthby;Chaudière-Appalaches (12)
Beaumont;Chaudière-Appalaches (12)
Beaupré;Capitale-Nationale (03)
Bécancour;Centre-du-Québec (17)
Bedford;Estrie (05)
Bégin;Saguenay--Lac-Saint-Jean (02)
Belcourt;Abitibi-Témiscamingue (08)
Belle-Rivière;Saguenay--Lac-Saint-Jean (02)
Belleterre;Abitibi-Témiscamingue (08)
Beloeil;Montérégie (16)
Berry;Abitibi-Témiscamingue (08)
Berthier-sur-Mer;Chaudière-Appalaches (12)
Berthierville;Lanaudière (14)
Béthanie;Montérégie (16)
Biencourt;Bas-Saint-Laurent (01)
Blainville;Laurentides (15)
Blanc-Sablon;Côte-Nord (09)
Blue Sea;Outaouais (07)
Boileau;Outaouais (07)
Boisbriand;Laurentides (15)
Boischatel;Capitale-Nationale (03)
Bois-des-Filion;Laurentides (15)
Bois-Franc;Outaouais (07)
Bolton-Est;Estrie (05)
Bolton-Ouest;Estrie (05)
Bonaventure;Gaspésie--Îles-de-la-Madeleine (11)
Bonne-Espérance;Côte-Nord (09)
Bonsecours;Estrie (05)
Boucherville;Montérégie (16)
Bouchette;Outaouais (07)
Bowman;Outaouais (07)
Brébeuf;Laurentides (15)
Brigham;Estrie (05)
Bristol;Outaouais (07)
Brome;Estrie (05)
Bromont;Estrie (05)
Brossard;Montérégie (16)
Brownsburg-Chatham;Laurentides (15)
Bryson;Outaouais (07)
Bury;Estrie (05)
Cacouna;Bas-Saint-Laurent (01)
Cacouna;Bas-Saint-Laurent (01)
Calixa-Lavallée;Montérégie (16)
Campbell's Bay;Outaouais (07)
Candiac;Montérégie (16)
Caniapiscau;Côte-Nord (09)
Cantley;Outaouais (07)
Cap-Chat;Gaspésie--Îles-de-la-Madeleine (11)
Caplan;Gaspésie--Îles-de-la-Madeleine (11)
Cap-Saint-Ignace;Chaudière-Appalaches (12)
Cap-Santé;Capitale-Nationale (03)
Carignan;Montérégie (16)
Carleton-sur-Mer;Gaspésie--Îles-de-la-Madeleine (11)
Cascades-Malignes;Outaouais (07)
Cascapédia--Saint-Jules;Gaspésie--Îles-de-la-Madeleine (11)
Causapscal;Bas-Saint-Laurent (01)
Cayamant;Outaouais (07)
Chambly;Montérégie (16)
Chambord;Saguenay--Lac-Saint-Jean (02)
Champlain;Mauricie (04)
Champneuf;Abitibi-Témiscamingue (08)
Chandler;Gaspésie--Îles-de-la-Madeleine (11)
Chapais;Nord-du-Québec (10)
Charette;Mauricie (04)
Charlemagne;Lanaudière (14)
Chartierville;Estrie (05)
Châteauguay;Montérégie (16)
Château-Richer;Capitale-Nationale (03)
Chazel;Abitibi-Témiscamingue (08)
Chelsea;Outaouais (07)
Chénéville;Outaouais (07)
Chertsey;Lanaudière (14)
Chesterville;Centre-du-Québec (17)
Chibougamau;Nord-du-Québec (10)
Chichester;Outaouais (07)
Chisasibi;Nord-du-Québec (10)
Chute-aux-Outardes;Côte-Nord (09)
Chute-Saint-Philippe;Laurentides (15)
Clarenceville;Montérégie (16)
Clarendon;Outaouais (07)
Clermont;Abitibi-Témiscamingue (08)
Clermont;Capitale-Nationale (03)
Clerval;Abitibi-Témiscamingue (08)
Cleveland;Estrie (05)
Cloridorme;Gaspésie--Îles-de-la-Madeleine (11)
Coaticook;Estrie (05)
Collines-du-Basque;Gaspésie--Îles-de-la-Madeleine (11)
Colombier;Côte-Nord (09)
Compton;Estrie (05)
Contrecoeur;Montérégie (16)
Cookshire-Eaton;Estrie (05)
Coteau-du-Lac;Montérégie (16)
Côte-Nord-du-Golfe-du-Saint-Laurent;Côte-Nord (09)
Côte-Saint-Luc;Montréal (06)
Coucoucache;Mauricie (04)
Coulée-des-Adolphe;Gaspésie--Îles-de-la-Madeleine (11)
Courcelles--Saint-Évariste;Chaudière-Appalaches (12)
Cowansville;Estrie (05)
Crabtree;Lanaudière (14)
Danville;Estrie (05)
Daveluyville;Centre-du-Québec (17)
Dégelis;Bas-Saint-Laurent (01)
Déléage;Outaouais (07)
Delson;Montérégie (16)
Denholm;Outaouais (07)
Dépôt-Échouani;Outaouais (07)
Desbiens;Saguenay--Lac-Saint-Jean (02)
Deschaillons-sur-Saint-Laurent;Centre-du-Québec (17)
Deschambault-Grondines;Capitale-Nationale (03)
Deux-Montagnes;Laurentides (15)
Disraeli;Chaudière-Appalaches (12)
Dixville;Estrie (05)
Dolbeau-Mistassini;Saguenay--Lac-Saint-Jean (02)
Dollard-des-Ormeaux;Montréal (06)
Doncaster;Laurentides (15)
Donnacona;Capitale-Nationale (03)
Dorval;Montréal (06)
Dosquet;Chaudière-Appalaches (12)
Drummondville;Centre-du-Québec (17)
Dudswell;Estrie (05)
Duhamel;Outaouais (07)
Duhamel-Ouest;Abitibi-Témiscamingue (08)
Dundee;Montérégie (16)
Dunham;Estrie (05)
Duparquet;Abitibi-Témiscamingue (08)
Dupuy;Abitibi-Témiscamingue (08)
Durham-Sud;Centre-du-Québec (17)
East Angus;Estrie (05)
East Broughton;Chaudière-Appalaches (12)
East Farnham;Estrie (05)
East Hereford;Estrie (05)
Eastmain;Nord-du-Québec (10)
Eastmain;Nord-du-Québec (10)
Eastman;Estrie (05)
Eeyou Istchee Baie-James;Nord-du-Québec (10)
Egan-Sud;Outaouais (07)
Elgin;Montérégie (16)
Entrelacs;Lanaudière (14)
Escuminac;Gaspésie--Îles-de-la-Madeleine (11)
Esprit-Saint;Bas-Saint-Laurent (01)
Essipit;Côte-Nord (09)
Estérel;Laurentides (15)
Farnham;Estrie (05)
Fassett;Outaouais (07)
Ferland-et-Boilleau;Saguenay--Lac-Saint-Jean (02)
Ferme-Neuve;Laurentides (15)
Fermont;Côte-Nord (09)
Forestville;Côte-Nord (09)
Fort-Coulonge;Outaouais (07)
Fortierville;Centre-du-Québec (17)
Fossambault-sur-le-Lac;Capitale-Nationale (03)
Frampton;Chaudière-Appalaches (12)
